symbol,direction,timeframe,outcome,ai_score,signal_quality,rsi,ema50,ema200,trend,wave_bias,price,ai_entry,ai_tp,ai_sl,exit_price,pnl_pct,created_at_readable,matched_rules,failed_rules
VIRTUALUSDT,SHORT,5m,LOSS,79,GUT,60.3337281251,0.5433395216,0.5568411096,neutral,,0.5483,0.5483,0.5400755,0.553783,0.553783,-1,2026-06-06 07:10:03,"RSI neutral-hoch (60)|EMA bearish (EMA50<EMA200, Dist 1.5%) – SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT|London-Open Session (07-10 UTC) – bevorzugte Zeit",
RENDERUSDT,SHORT,5m,LOSS,79,GUT,59.0161667465,1.6196523637,1.6586057684,neutral,,1.633,1.633,1.608505,1.64933,1.64933,-1,2026-06-06 07:10:04,"RSI neutral-hoch (59)|EMA bearish (EMA50<EMA200, Dist 1.5%) – SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT|London-Open Session (07-10 UTC) – bevorzugte Zeit",
XAUTUSDT,SHORT,5m,WIN,76,GUT,56.5181841515,4292.0805839517,4316.0217893674,neutral,,4293.2,4293.2,4228.802,4336.132,4275.49,0.41,2026-06-06 07:15:15,"RSI neutral-hoch (57)|EMA bearish (EMA50<EMA200, Dist 0.5%) – SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT|London-Open Session (07-10 UTC) – bevorzugte Zeit",
TRXUSDT,SHORT,5m,LOSS,77,GUT,56.2377391842,0.3201714875,0.3211939356,neutral,,0.3204,0.3204,0.31559400000000004,0.323604,0.323604,-1,2026-06-06 09:30:05,RSI neutral-hoch (56)|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT|London-Open Session (07-10 UTC) – bevorzugte Zeit,Preis zu nah an EMA 200 (0.25%) – Ausschluss v2.0
TRXUSDT,SHORT,5m,LOSS,77,GUT,58.1242392447,0.3198768362,0.3205955497,neutral,,0.3204,0.3204,0.31559400000000004,0.323604,0.323604,-1,2026-06-06 13:40:04,RSI neutral-hoch (58)|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT|US-Open Session (13:30-16 UTC) – bevorzugte Zeit,Preis zu nah an EMA 200 (0.06%) – Ausschluss v2.0
VIRTUALUSDT,SHORT,5m,LOSS,76,GUT,56.0461318879,0.5460481908,0.5513197564,neutral,,0.5479,0.5479,0.5396815,0.5533790000000001,0.5533790000000001,-1,2026-06-06 14:10:02,"RSI neutral-hoch (56)|EMA bearish (EMA50<EMA200, Dist 0.6%) – SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT|US-Open Session (13:30-16 UTC) – bevorzugte Zeit",
RIVERUSDT,LONG,5m,WIN,79,GUT,41.1226143065,5.2199794277,5.1298936821,neutral,,5.2086,5.2086,5.286728999999999,5.156514,5.272,1.22,2026-06-07 07:40:20,"RSI neutral-niedrig (41)|EMA bullish (EMA50>EMA200, Dist 1.5%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG|London-Open Session (07-10 UTC) – bevorzugte Zeit",
RIVERUSDT,LONG,5m,WIN,87,GUT,37.102830516,5.216702686,5.1351031842,neutral,,5.1875,5.1875,5.2653125,5.135625,5.272,1.63,2026-06-07 08:15:47,"RSI niedrig (37) – passt zu Setup A LONG|EMA bullish (EMA50>EMA200, Dist 1.0%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG|London-Open Session (07-10 UTC) – bevorzugte Zeit",
VIRTUALUSDT,LONG,5m,WIN,82,GUT,33.8590250379,0.5725795996,0.5612372476,neutral,,0.5689,0.5689,0.5774334999999999,0.5632109999999999,0.5735,0.81,2026-06-07 10:05:06,"RSI niedrig (34) – passt zu Setup A LONG|EMA bullish (EMA50>EMA200, Dist 1.4%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
SUIUSDT,LONG,5m,LOSS,82,GUT,37.1388144164,0.7548950646,0.7388361966,neutral,,0.7507,0.7507,0.7619605,0.743193,0.743193,-1,2026-06-07 10:10:03,"RSI niedrig (37) – passt zu Setup A LONG|EMA bullish (EMA50>EMA200, Dist 1.6%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
